file;turn number;human_rater_1;human_rater_2;zero_shot_conversation;zero_shot_turn;zero_shot_reasoning_conversation;zero_shot_reasoning_turn;few_shot_conversation_turns;few_shot_turn_turns;few_shot_conversation_conversations;few_shot_turn_conversations;few_shot_reasoning_turn_conversations;few_shot_reasoning_conversation_conversations;few_shot_reasoning_conversation_turns;few_shot_reasoning_turn_turns ;formal_types_q;question_type;student_resp
teacherstudentchat00120;25;4;4;3;4;2;3;4;2;4;4;4;4;4;3;right;rfc;ackn
teacherstudentchat00004;13;2;3;4;3;2;3;4;3;4;4;4;4;4;2;ok;rfc;no response
teacherstudentchat00004;93;4;2;4;3;3;4;3;5;4;4;2;4;4;2;ok;rfc;ackn
teacherstudentchat00033;111;4;2;5;3;4;2;3;2;4;4;4;4;3;2;right;rfc;ackn
teacherstudentchat00025;80;4;4;5;3;3;3;4;3;4;4;4;4;3;4;ok;rfc;ackn
teacherstudentchat00025;6;3;2;3;3;3;3;3;3;4;4;3;4;5;3;right;rfc;ackn
teacherstudentchat00025;14;4;5;4;3;4;2;4;2;4;4;4;4;4;3;ok;rfc;no response
teacherstudentchat00025;89;4;4;4;4;2;2;3;2;4;3;4;4;4;2;ok;rfc;no response
teacherstudentchat00025;53;4;4;5;4;3;3;4;4;4;4;4;4;4;5;ok;rfc;ackn
teacherstudentchat00025;94;4;4;5;4;4;3;3;4;4;4;4;4;4;4;yes/no;rfi;ackn
teacherstudentchat00025;12;4;5;4;4;3;3;3;3;4;4;3;4;3;4;ok;rfc;no response
teacherstudentchat00025;33;5;5;5;4;2;2;4;3;4;4;4;4;3;4;ok;rfc;ackn
teacherstudentchat00025;21;4;4;4;3;3;2;4;5;4;4;3;4;4;4;ok;rfc;neg_feedback
teacherstudentchat00025;44;4;5;5;4;3;2;4;1;4;4;4;5;3;4;you see;rfi;ackn
teacherstudentchat00128;174;4;4;4;4;3;3;4;3;4;4;2;4;4;4;right;rfc;ackn
teacherstudentchat00128;171;4;4;4;3;4;1;4;5;4;4;4;5;4;2;right, hedge;rfc;ackn
teacherstudentchat00128;192;3;3;4;3;4;3;4;5;4;4;3;4;4;4;right;rfc;ackn
teacherstudentchat00116;454;2;2;4;4;3;3;4;2;4;4;4;5;3;2;ok;rfc;no response
teacherstudentchat00116;452;3;1;3;3;3;1;3;4;4;4;2;5;5;3;ok;rfc;neg_feedback
teacherstudentchat00126;94;5;5;5;3;5;2;3;2;4;4;4;4;5;4;ok;rfc;ackn
teacherstudentchat00034;62;3;3;5;4;4;3;4;2;4;4;3;4;4;3;ok;rfc;ackn
teacherstudentchat00034;14;3;2;4;4;4;3;3;3;4;4;4;3;4;4;ok;rfc;ackn
teacherstudentchat00034;64;4;4;5;4;4;4;3;4;4;4;3;4;4;2;yes/no;rfi;neg_feedback
teacherstudentchat00034;91;4;4;4;3;4;2;4;3;4;4;4;4;3;3;right;rfc;no response
teacherstudentchat00034;39;4;4;4;3;4;3;3;3;4;4;4;4;4;3;ok;rfc;no response
teacherstudentchat00034;103;3;2;5;4;4;3;4;3;4;4;3;4;5;3;ok;rfc;ackn
teacherstudentchat00034;43;5;5;4;4;5;3;3;3;4;4;4;4;3;3;right;rfc;ackn
teacherstudentchat00034;22;4;4;4;4;3;3;4;3;4;3;3;3;5;3;ok;rfc;no response
teacherstudentchat00024;49;4;4;4;3;3;3;3;4;4;4;3;4;3;4;yes/no;rfi;ackn
teacherstudentchat00024;79;4;3;4;4;3;3;4;3;4;5;3;4;3;4;you see;rfi;no response
teacherstudentchat00024;92;4;4;5;4;3;2;4;3;4;4;3;4;4;2;yes/no;rfi;ackn
teacherstudentchat00095;14;4;4;5;4;4;3;5;3;4;4;3;4;3;4;you know;rfi;ackn
teacherstudentchat00021;89;3;3;5;4;4;3;4;3;4;4;3;4;5;4;you see;rfi;clarif_req
teacherstudentchat00021;10;4;4;4;4;3;3;4;3;4;4;4;4;4;2;you see;rfi;no response
teacherstudentchat00021;57;4;4;4;4;3;3;4;3;4;3;4;4;3;5;you see;rfi;ackn
teacherstudentchat00029;17;5;4;4;4;4;3;5;4;4;4;3;4;4;3;yes/no;rfi;ackn
teacherstudentchat00022;48;4;4;3;4;3;5;4;2;4;4;4;3;3;4;you see;rfi;ackn
teacherstudentchat00096;25;4;4;4;4;2;4;5;3;4;4;3;5;4;3;you know;rfi;ackn
teacherstudentchat00013;69;3;3;4;4;3;4;4;3;4;4;4;4;5;4;you see;rfi;ackn
teacherstudentchat00013;79;4;3;4;4;3;3;5;5;4;4;4;4;5;4;you see;rfi;ackn
teacherstudentchat00031;116;4;5;4;4;3;4;4;5;4;4;4;4;4;3;you see;rfi;no response
teacherstudentchat00031;90;4;4;5;4;3;2;4;5;4;4;3;3;3;4;you know;rfi;ackn
teacherstudentchat00102;77;4;4;5;4;3;2;3;4;4;4;3;4;5;3;you know;rfi;ackn
teacherstudentchat00102;45;4;4;4;3;3;2;3;5;4;4;3;3;5;4;you know;rfi;ackn
teacherstudentchat00102;129;4;4;5;3;4;3;3;4;4;3;4;3;5;2;yes/no;rfi;ackn
teacherstudentchat00006;54;4;4;4;4;3;4;4;3;4;4;4;4;5;5;you see;rfi;clarif_req
teacherstudentchat00035;66;3;3;4;4;4;4;4;3;4;4;4;3;3;3;you see;rfi;ackn
teacherstudentchat00110;181;2;2;4;4;4;3;3;3;4;4;3;4;4;3;you know;rfi;ackn
teacherstudentchat00110;153;2;2;4;3;3;2;3;4;4;4;3;4;4;2;you know;rfi;ackn
teacherstudentchat00110;40;3;2;4;3;3;1;3;2;4;4;4;4;4;4;you know;rfi;ackn
teacherstudentchat00124;149;4;2;3;3;3;3;4;3;4;4;4;4;3;3;you know;rfi;ackn
teacherstudentchat00115;85;4;2;4;3;4;2;3;3;4;4;4;4;5;3;you see;rfi;ackn
teacherstudentchat00015;97;4;5;4;4;4;3;4;4;3;4;4;3;5;3;you see;rfi;ackn
teacherstudentchat00121;121;4;5;4;3;4;4;4;3;4;4;4;4;4;4;yes/no;rfi;no response
teacherstudentchat00121;88;5;4;4;4;4;4;4;3;4;4;3;3;3;3;yes/no;rfi;no response
teacherstudentchat00121;75;5;4;4;4;4;4;3;4;4;4;3;3;3;2;yes/no;rfi;no response
teacherstudentchat00098;106;5;4;4;3;2;3;4;3;4;4;4;4;3;3;you know;rfi;ackn
teacherstudentchat00122;45;4;4;3;4;4;4;3;4;3;4;3;4;3;2;you know;rfi;no response
teacherstudentchat00106;130;4;4;3;3;3;3;3;3;4;4;4;4;3;3;yes/no;rfi;ackn
teacherstudentchat00106;91;4;4;4;4;3;2;2;3;4;4;4;4;5;4;you know;rfi;no response
teacherstudentchat00106;87;4;5;4;3;4;3;4;3;4;4;4;4;3;3;right;rfc;clarif_req
teacherstudentchat00106;112;4;4;4;3;3;2;4;1;4;4;3;4;5;4;yes/no;rfi;ackn
teacherstudentchat00103;158;3;2;5;4;5;3;3;1;4;4;4;4;4;4;ok;rfi;ackn
teacherstudentchat00103;155;4;4;5;3;5;3;3;5;4;4;3;2;3;2;yes/no;rfi;no response
teacherstudentchat00117;28;4;4;4;4;4;2;3;2;4;4;3;4;4;2;you know;rfi;no response
teacherstudentchat00027;135;3;4;5;4;3;3;3;4;4;4;4;4;3;3;you see;rfi;ackn
teacherstudentchat00114;249;3;4;4;3;3;3;3;3;4;4;3;4;3;4;you know;rfi;no response
teacherstudentchat00114;68;4;4;3;4;3;2;4;3;4;4;3;4;4;5;remember;rfi;ackn
teacherstudentchat00019;59;4;5;5;4;4;3;4;3;4;4;3;4;4;4;you see;rfi;ackn
teacherstudentchat00019;30;3;3;4;5;3;2;3;3;4;4;4;3;4;4;you see;rfi;no response
teacherstudentchat00123;72;4;4;4;4;4;3;3;4;4;4;3;3;3;3;you know;rfi;ackn
teacherstudentchat00123;179;4;4;4;4;4;4;4;4;4;4;3;3;4;3;remember;rfi;ackn
teacherstudentchat00004;24;4;4;4;4;3;3;3;3;4;4;3;4;5;4;you know;rfi;ackn
teacherstudentchat00004;82;4;4;5;3;3;3;3;3;4;4;3;4;4;3;you know;rfi;ackn
teacherstudentchat00004;61;4;4;4;4;2;2;3;3;4;4;4;4;4;2;you know;rfi;clarif_req
teacherstudentchat00004;15;4;4;4;3;3;2;4;4;4;4;4;4;4;4;remember;rfi;ackn
teacherstudentchat00128;88;3;3;4;4;5;3;3;2;4;4;4;4;3;4;remember;rfi;no response
teacherstudentchat00128;144;4;4;4;4;3;4;4;4;4;4;3;4;5;3;you know;rfi;ackn
teacherstudentchat00128;171;4;4;5;3;5;3;4;3;4;4;3;4;5;4;right;rfc;ackn
teacherstudentchat00128;93;4;4;4;3;3;4;4;2;4;5;4;4;4;4;you know;rfi;ackn
teacherstudentchat00116;384;4;4;4;4;3;3;3;1;4;4;4;4;4;3;remember;rfi;ackn
teacherstudentchat00126;71;4;4;4;4;5;3;3;5;4;5;3;4;3;3;you know;rfi;ackn
teacherstudentchat00034;94;3;3;5;4;4;3;3;4;4;4;4;3;5;4;ok;rfi;ackn
teacherstudentchat00034;70;5;5;4;4;4;4;3;4;4;4;3;4;4;4;yes/no;rfi;ackn
teacherstudentchat00005;53;3;2;3;3;3;3;4;3;4;4;3;3;2;3;you see;rfi;ackn
